1980,2,2,2,0,0,115900
1700,3,2,3,1,1,107500
2100,3,2,3,1,0,151100
1860,2,2,3,0,1,91100
2150,2,3,4,0,1,117400
2100,3,2,3,0,1,130800
1650,3,2,3,0,1,81300
1720,2,2,2,1,0,125700
2190,3,2,3,1,0,140900
2240,4,3,3,0,2,152300
1840,3,3,1,0,2,138100
2090,4,2,1,0,2,155400
2200,3,3,1,0,2,180900
1610,2,2,2,0,1,100900
2220,4,3,2,0,2,161300
1910,2,3,2,0,0,120500
1860,3,2,2,0,2,130300
1450,2,2,1,1,1,111100
2210,3,3,4,0,1,126200
2040,4,3,3,0,0,151900
2140,3,2,4,0,1,93600
2080,4,3,3,0,2,165600
1950,3,3,3,1,2,166700
2160,4,2,1,0,2,157600
1650,3,2,3,0,1,107300
2040,3,3,2,0,0,125700
2140,3,3,3,0,2,144200
1900,2,2,2,0,1,106900
1930,3,2,2,0,2,129800
2280,4,3,3,1,2,176500
2130,3,2,3,0,1,121300
1780,4,2,1,0,2,143600
2190,3,3,4,1,0,143400
2140,4,3,2,1,2,184300
2050,2,2,1,1,2,164800
2410,3,3,2,0,0,147700
1520,2,2,3,0,1,90500
2250,4,3,2,1,2,188300
1900,4,2,4,0,1,102700
1880,3,3,1,1,2,172500
1930,3,3,2,0,1,127700
2010,2,2,4,0,1,97800
1920,4,2,2,0,2,143100
2150,3,2,2,0,0,116500
2110,3,2,2,0,2,142600
2080,3,3,2,0,0,157100
2150,4,3,3,1,2,160600
1970,2,2,1,1,2,152500
2440,3,3,3,0,0,133300
2000,2,2,1,1,0,126800
